Asset Class,Before_Tax_Returns,Before_Tax_Risk_Normal,Before_Tax_Risk_Stressed,Correlation Normal,AEQ,AEQS,OEQAC,OEQACH,OEQDM,OEQDMH,OEQS,OEQEM,APE,IPE,OPPGH,ARSG,ARS,INFL,INF,INFI,AREIT,GREIT,PROD,PRODI,PRGTH,PRGTHI,TIMB,COMM,DAIRY,FRD,AFIGOV,AFICRD,AFI,ILB,AFIHY,OFIGOV,OFICRD,OFI,OILB,OFIHY,EMDHC,EMDLC,CASH,MLTAA,RISKPY,Correlation Stressed,AEQ,AEQS,OEQAC,OEQACH,OEQDM,OEQDMH,OEQS,OEQEM,APE,IPE,OPPGH,ARSG,ARS,INFL,INF,INFI,AREIT,GREIT,PROD,PRODI,PRGTH,PRGTHI,TIMB,COMM,DAIRY,FRD,AFIGOV,AFICRD,AFI,ILB,AFIHY,OFIGOV,OFICRD,OFI,OILB,OFIHY,EMDHC,EMDLC,CASH,MLTAA,RISKPY
AEQ,0.0825,0.15,0.225,AEQ,1.0,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,AEQ,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.75,0.25,0,0.75,0.5
AEQS,0.0825,0.2,0.30000000000000004,AEQS,1.0,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,AEQS,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.75,0.25,0,0.75,0.5
OEQAC,0.08475,0.146,0.219,OEQAC,0.5,0.5,1.0,0.75,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.25,OEQAC,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.25,0.75,0,0.75,0.5
OEQACH,0.08475,0.156,0.234,OEQACH,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,OEQACH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.75,0.25,0,0.75,0.5
OEQDM,0.0825,0.14,0.21,OEQDM,0.5,0.5,1.0,0.75,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.25,OEQDM,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.25,0.75,0,0.75,0.5
OEQDMH,0.0825,0.15,0.225,OEQDMH,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,OEQDMH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.75,0.25,0,0.75,0.5
OEQS,0.0925,0.16,0.24,OEQS,0.5,0.5,1.0,0.75,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.25,0.25,0.0,0.5,0.25,OEQS,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.5,0.5,0,0.75,0.5
OEQEM,0.0975,0.18,0.27,OEQEM,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.25,0.0,0.5,0.25,OEQEM,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.75,-0.5,0.5,0.25,0.25,0.75,0.75,0.5,0,0.75,0.5
APE,0.1125,0.2,0.25,APE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APE,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
IPE,0.1125,0.2,0.25,IPE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPE,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,-0.5,0.25,0.0,0.25,0.25,0.25,0.25,0,0.25,0.25
OPPGH,0.1125,0.17,0.21250000000000002,OPPGH,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.25,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.5,0.25,OPPGH,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.0,-0.5,0.5,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.5,0.5,0.5,0,0.75,0.5
ARSG,0.1075,0.15,0.225,ARSG,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.75,0.25,ARSG,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.75,1.0,0.75,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,-0.5,0.5,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.5,0.75,0.25,0,0.75,0.5
ARS,0.0825,0.1,0.15,ARS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.5,1.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.75,0.25,ARS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.75,1.0,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,0.5,0.25,0.25,0.5,-0.5,0.5,0.25,0.25,0.5,0.5,0.25,0,0.75,0.5
